country,year,sex,life_expectancy
LV,2016,F,79.6
LV,2017,F,79.7
LV,2018,F,79.7
LV,2019,F,80.1
LV,2020,F,80.0
LV,2021,F,78.0
LV,2022,F,79.4
LV,2023,F,80.6
MT,2012,F,83.0
MT,2013,F,84.0
MT,2014,F,84.3
MT,2015,F,84.1
MT,2016,F,84.4
MT,2017,F,84.6
MT,2018,F,84.6
MT,2019,F,84.6
MT,2020,F,84.5
MT,2021,F,84.3
MT,2022,F,84.6
MT,2023,F,85.2
NL,2012,F,83.0
NL,2013,F,83.2
NL,2014,F,83.5
NL,2015,F,83.2
NL,2016,F,83.2
NL,2017,F,83.4
NL,2018,F,83.4
NL,2019,F,83.7
NL,2020,F,83.1
NL,2021,F,83.0
NL,2022,F,83.1
NL,2023,F,83.4
PL,2012,F,81.1
PL,2013,F,81.2
PL,2014,F,81.7
PL,2015,F,81.6
PL,2016,F,82.0
PL,2017,F,81.8
PL,2018,F,81.7
PL,2019,F,81.9
PL,2020,F,80.7
PL,2021,F,79.6
PL,2022,F,81.1
PL,2023,F,82.1
PT,2012,F,83.6
PT,2013,F,84.0
PT,2014,F,84.4
PT,2015,F,84.3
PT,2016,F,84.3
PT,2017,F,84.6
PT,2018,F,84.5
PT,2019,F,84.8
PT,2020,F,84.1
PT,2021,F,84.4
PT,2022,F,84.5
PT,2023,F,85.3
RO,2012,F,78.1
RO,2013,F,78.7
RO,2014,F,78.7
RO,2015,F,78.6
RO,2016,F,79.1
RO,2017,F,79.0
RO,2018,F,79.2
RO,2019,F,79.5
RO,2020,F,78.3
RO,2021,F,76.6
RO,2022,F,79.2
RO,2023,F,80.4
SE,2013,F,83.8
SE,2014,F,84.2
SE,2015,F,84.1
SE,2016,F,84.1
SE,2017,F,84.1
SE,2018,F,84.3
SE,2019,F,84.8
SE,2020,F,84.2
SE,2021,F,84.9
SE,2022,F,84.8
SE,2023,F,85.0
SI,2012,F,83.3
SI,2013,F,83.6
SI,2014,F,84.1
SI,2015,F,83.9
SI,2016,F,84.3
SI,2017,F,84.0
SI,2018,F,84.4
SI,2019,F,84.5
SI,2020,F,83.4
SI,2021,F,83.8
SI,2022,F,84.1
SI,2023,F,84.9
SK,2012,F,79.9
SK,2013,F,80.1
SK,2014,F,80.5
SK,2015,F,80.2
SK,2016,F,80.7
SK,2017,F,80.7
SK,2018,F,80.8
SK,2019,F,81.2
SK,2020,F,80.4
SK,2021,F,78.2
SK,2022,F,80.5
SK,2023,F,81.5
AT,2012,M,78.4
AT,2013,M,78.6
AT,2014,M,79.1
AT,2015,M,78.8
AT,2016,M,79.3
AT,2017,M,79.4
AT,2018,M,79.4
AT,2019,M,79.7
AT,2020,M,78.9
AT,2021,M,78.8
AT,2022,M,79.1
AT,2023,M,79.5
BE,2012,M,77.8
BE,2013,M,78.1
BE,2014,M,78.8
BE,2015,M,78.7
BE,2016,M,79.0
BE,2017,M,79.2
BE,2018,M,79.4
BE,2019,M,79.8
BE,2020,M,78.6
BE,2021,M,79.4
BE,2022,M,79.7
BE,2023,M,80.4
BG,2012,M,70.9
BG,2013,M,71.3
BG,2014,M,71.1
BG,2015,M,71.2
BG,2016,M,71.3
BG,2017,M,71.4
BG,2018,M,71.5
BG,2019,M,71.6
BG,2020,M,70.0
BG,2021,M,68.0
BG,2022,M,70.6
BG,2023,M,72.0
CY,2012,M,78.9
CY,2013,M,80.1
CY,2014,M,80.3
CY,2015,M,79.9
CY,2016,M,80.5
CY,2017,M,80.2
CY,2018,M,80.9
CY,2019,M,80.3
CY,2020,M,80.4
CY,2021,M,79.2
CY,2022,M,79.7
CY,2023,M,81.3
CZ,2012,M,75.1
CZ,2013,M,75.2
CZ,2014,M,75.8
CZ,2015,M,75.7
CZ,2016,M,76.1
CZ,2017,M,76.1
CZ,2018,M,76.2
CZ,2019,M,76.4
CZ,2020,M,75.3
CZ,2021,M,74.1
CZ,2022,M,76.1
CZ,2023,M,76.9
DE,2012,M,78.1
DE,2013,M,78.1
DE,2014,M,78.7
DE,2015,M,78.3
DE,2016,M,78.6
DE,2017,M,78.7
DE,2018,M,78.6
DE,2019,M,79.0
DE,2020,M,78.7
DE,2021,M,78.4
DE,2022,M,78.3
DE,2023,M,78.7
DK,2012,M,78.1
DK,2013,M,78.3
DK,2014,M,78.7
DK,2015,M,78.8
DK,2016,M,79.0
DK,2017,M,79.2
DK,2018,M,79.1
DK,2019,M,79.5
DK,2020,M,79.7
DK,2021,M,79.6
DK,2022,M,79.5
DK,2023,M,79.9
EE,2012,M,71.4
EE,2013,M,72.8
EE,2014,M,72.4
EE,2015,M,73.2
EE,2016,M,73.3
EE,2017,M,73.8
EE,2018,M,74.0
EE,2019,M,74.5
EE,2020,M,74.4
EE,2021,M,72.7
EE,2022,M,73.6
EE,2023,M,74.5
EL,2012,M,78.0
EL,2013,M,78.7
EL,2014,M,78.8
EL,2015,M,78.5
EL,2016,M,78.9
EL,2017,M,78.8
EL,2018,M,79.3
EL,2019,M,79.2
EL,2020,M,78.8
EL,2021,M,77.4
EL,2022,M,78.3
EL,2023,M,79.2
ES,2012,M,79.5
ES,2013,M,80.2
ES,2014,M,80.4
ES,2015,M,80.1
ES,2016,M,80.5
ES,2017,M,80.6
ES,2018,M,80.7
ES,2019,M,81.1
ES,2020,M,79.6
ES,2021,M,80.4
ES,2022,M,80.5
ES,2023,M,81.3
FI,2012,M,77.7
FI,2014,M,78.4
FI,2015,M,78.7
FI,2016,M,78.6
FI,2017,M,78.9
FI,2018,M,79.1
FI,2019,M,79.3
FI,2020,M,79.2
FI,2021,M,79.3
FI,2022,M,78.7
FI,2023,M,79.0
FR,2012,M,78.7
FR,2013,M,79.0
FR,2014,M,79.5
FR,2015,M,79.2
FR,2016,M,79.5
FR,2017,M,79.6
FR,2018,M,79.7
FR,2019,M,79.9
FR,2020,M,79.2
FR,2021,M,79.3
FR,2022,M,79.3
FR,2023,M,80.1
HR,2012,M,73.9
HR,2013,M,74.5
HR,2014,M,74.7
HR,2015,M,74.4
HR,2016,M,75.0
HR,2017,M,74.9
HR,2018,M,74.9
HR,2019,M,75.5
HR,2020,M,74.7
HR,2021,M,73.6
HR,2022,M,74.6
HR,2023,M,75.5
HU,2012,M,71.6
HU,2013,M,72.2
HU,2014,M,72.3
HU,2015,M,72.3
HU,2016,M,72.6
HU,2017,M,72.5
HU,2018,M,72.7
HU,2019,M,73.1
HU,2020,M,72.3
HU,2021,M,70.7
HU,2022,M,72.6
HU,2023,M,73.4
IE,2012,M,78.7
IE,2013,M,78.9
IE,2014,M,79.3
IE,2015,M,79.6
IE,2016,M,79.9
IE,2017,M,80.4
IE,2018,M,80.4
IE,2019,M,80.8
IE,2020,M,80.8
IE,2021,M,80.5
IE,2022,M,80.9
IE,2023,M,81.1
IT,2012,M,79.8
IT,2013,M,80.3
IT,2014,M,80.7
IT,2015,M,80.3
IT,2016,M,81.0
IT,2017,M,80.8
IT,2018,M,81.2
IT,2019,M,81.4
IT,2020,M,80.0
IT,2021,M,80.5
IT,2022,M,80.7
IT,2023,M,81.4
LT,2012,M,68.4
LT,2013,M,68.5
LT,2014,M,69.2
LT,2015,M,69.2
LT,2016,M,69.5
LT,2017,M,70.7
LT,2018,M,70.9
LT,2019,M,71.6
LT,2020,M,70.1
LT,2021,M,69.5
LT,2022,M,71.4
LT,2023,M,72.9
LU,2012,M,79.1
LU,2013,M,79.8
LU,2014,M,79.4
LU,2015,M,80.0
LU,2016,M,80.1
LU,2017,M,79.9
LU,2018,M,80.1
LU,2019,M,80.2
LU,2020,M,79.9
LU,2021,M,80.5
LU,2022,M,80.8
LV,2012,M,68.9
LV,2013,M,69.3
LV,2014,M,69.1
LV,2015,M,69.7
LV,2016,M,69.8
LV,2017,M,69.8
LV,2018,M,70.1
LV,2019,M,70.9
LV,2020,M,70.6
LV,2021,M,68.2
LV,2022,M,69.4
LV,2023,M,70.5
MT,2012,M,78.6
MT,2013,M,79.6
MT,2014,M,79.9
MT,2015,M,79.8
MT,2016,M,80.6
MT,2017,M,80.2
MT,2018,M,80.4
MT,2019,M,81.2
MT,2020,M,80.3
MT,2021,M,80.8
MT,2022,M,80.4
MT,2023,M,81.6
NL,2012,M,79.3
NL,2013,M,79.5
NL,2014,M,80.0
NL,2015,M,79.9
NL,2016,M,80.0
NL,2017,M,80.2
NL,2018,M,80.3
NL,2019,M,80.6
NL,2020,M,79.7
NL,2021,M,79.7
NL,2022,M,80.2
NL,2023,M,80.4
PL,2012,M,72.6
PL,2013,M,73.0
PL,2014,M,73.7
PL,2015,M,73.5
PL,2016,M,73.9
PL,2017,M,73.9
PL,2018,M,73.7
PL,2019,M,74.1
PL,2020,M,72.5
PL,2021,M,71.6
PL,2022,M,73.4
PL,2023,M,74.6
PT,2012,M,77.3
PT,2013,M,77.6
PT,2014,M,78.0
PT,2015,M,78.1
PT,2016,M,78.1
PT,2017,M,78.4
PT,2018,M,78.3
PT,2019,M,78.7
PT,2020,M,78.0
PT,2021,M,78.5
PT,2022,M,78.9
PT,2023,M,79.5
RO,2012,M,70.9
RO,2013,M,71.6
RO,2014,M,71.3
RO,2015,M,71.4
RO,2016,M,71.7
RO,2017,M,71.6
RO,2018,M,71.7
RO,2019,M,71.9
RO,2020,M,70.4
RO,2021,M,69.2
RO,2022,M,71.3
RO,2023,M,72.6
SE,2013,M,80.2
SE,2014,M,80.4
SE,2015,M,80.4
SE,2016,M,80.6
SE,2017,M,80.8
SE,2018,M,80.9
SE,2019,M,81.5
SE,2020,M,80.6
SE,2021,M,81.3
SE,2022,M,81.4
SE,2023,M,81.7
SI,2012,M,77.1
SI,2013,M,77.2
SI,2014,M,78.2
SI,2015,M,77.8
SI,2016,M,78.2
SI,2017,M,78.2
SI,2018,M,78.5
SI,2019,M,78.7
SI,2020,M,77.8
SI,2021,M,77.7
SI,2022,M,78.6
SI,2023,M,79.1
SK,2012,M,72.5
SK,2013,M,72.9
SK,2014,M,73.3
SK,2015,M,73.1
SK,2016,M,73.8
SK,2017,M,73.8
SK,2018,M,73.9
SK,2019,M,74.3
SK,2020,M,73.5
SK,2021,M,71.2
SK,2022,M,73.6
SK,2023,M,74.9
