STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IE,Ireland,2023,,81.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2012,,81.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2013,,80.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2014,,81.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2015,,81.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2016,,80.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2017,,81.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2018,,81.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2019,,81.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2020,,81.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2021,,81.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2022,,80.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IS,Iceland,2023,,80.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2012,,79.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2013,,80.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2014,,80.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2015,,80.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2016,,81.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2017,,80.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2018,,81.2,,,,,
