STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,icha11_hc,Classification of health care functions - SHA 2011,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2013,,3361.78,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2014,,3405.5,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2015,,3441.54,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2016,,3511.67,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2017,,3545.77,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2018,,3575.34,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2019,,3678.22,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2020,,3820.69,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2021,,4102.73,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2022,,4206.65,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2023,,4359.86,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),FR,France,2024,,4556.87,,p,provisional,,
